Designación                     d x peso,,Peralte,Alma,,Patin,,Área,Pandeo local,,X - X,,,,Propiedades torsión,
,,d    ,h,tw   , bf   , tf   ,,b / 2tf,h / tw,I,Z,S,r,J,Cw
mm,kg/m,mm,mm,mm,mm,mm,cm2,,,cm4,cm3,cm3,cm,cm4,cm6
305,178.7,333,245,18.1,313,28.2,227.8,5.6,13.7,44537,3048,2672,14,537,3329845
305,202.5,341,247,20.1,315,31.8,257.5,5,12.3,51613,3507,3048,14.2,770,3947477
305,226.3,348,246,22.1,318,35.6,288.4,4.5,11.2,59522,3983,3425,14.4,1074,4618817
305,253.1,356,246,24.4,321,39.7,322.6,4.1,10.1,68679,4507,3851,14.6,1482,5397571
305,282.9,366,246,27,323,44.2,360,3.7,9.2,78668,5097,4310,14.8,2031,6337446
305,312.6,374,246,30,326,48.3,398.8,3.4,8.3,89074,5703,4786,15,2693,7304176
305,342.4,384,248,32.8,328,52.6,436.8,3.2,7.6,100729,6326,5261,15.2,3488,8378319
305,375.2,392,246,35.6,331,57.2,477.5,2.9,7,113215,7014,5785,15.4,4495,9613584
305,415.3,404,248,38.9,333,62.8,528.4,2.7,6.4,129448,7883,6441,15.6,5952,11278506
305,454,415,247,41.5,336,68.9,578.1,2.5,6,147763,8800,7129,16,7700,13050843
305,500.2,427,245,45.3,341,75.2,637.5,2.3,5.5,168990,9882,7915,16.3,10114,15306544
,,,,,,,,,,,,,,,
356,32.8,348,310,5.9,127,8.6,41.9,7.5,53.3,8284,545,476,14.1,9,84320
356,38.8,354,312,6.5,128,10.7,49.7,6,48.1,10198,659,579,14.4,15,108757
,,,,,,,,,,,,,,,
356,44.7,351,311,6.9,171,9.8,57.1,8.8,45.4,12113,776,689,14.6,16,238191
356,50.7,356,312,7.3,172,11.6,64.6,7.5,43.1,14152,895,797,14.8,24,287333
356,56.6,359,311,7.9,172,13.1,72.3,6.6,39.6,16025,1008,895,14.9,33,330299
,,,,,,,,,,,,,,,
356,64.1,348,290,7.8,204,13.5,81.3,7.6,37.4,17815,1141,1026,14.8,44,523645
356,71.5,351,289,8.7,204,15.2,91,6.8,33.6,20146,1285,1151,14.9,60,601520
356,78.9,345,290,9.4,205,16.8,100.7,6.2,30.9,22519,1428,1275,15,81,682081
,,,,,,,,,,,,,,,
356,90.8,354,290,9.6,254,16.4,115.5,7.8,30.4,26639,1672,1510,15.2,91,1264804
356,101.3,356,288,10.6,254,18.3,129.1,7,27.5,30052,1885,1688,15.3,125,1444723
356,110.2,361,289,11.5,257,20,140.7,6.5,25.4,33091,2065,1836,15.3,161,1608530
356,122.1,361,290,13,257,21.8,154.9,6,22.4,36670,2278,2016,15.4,211,1801876
,,,,,,,,,,,,,,,
356,134,356,288,11.2,369,18.1,171,10.3,25.9,41582,2573,2344,15.6,169,4296574
356,147.4,361,289,12.4,371,19.9,187.8,9.4,23.5,46202,2835,2573,15.7,224,4833646
356,162.3,364,288,13.4,371,21.9,206.5,8.5,21.7,61613,3147,2835,15.8,296,5424425
356,178.7,369,289,15,374,23.9,227.8,7.9,19.3,57440,3475,3114,15.8,390,6095764
356,196.5,374,290,16.4,374,26.2,250.4,7.2,17.7,63684,3835,3425,16,512,6847665
,,,,,,,,,,,,,,,
356,215.9,376,290,17.3,394,27.7,275.5,7.2,16.8,71176,4261,3802,16.1,633,8512587
356,236.7,381,289,19,397,30.3,301.3,6.6,15.3,79084,4704,4163,16.2,820,9559877
356,261.2,387,289,21.1,399,33.3,334.2,6,13.7,89074,5244,4605,16.3,1103,10875703
356,287.3,394,290,22.7,399,36.6,366.5,5.5,12.8,99896,2818,5080,16.5,1448,12325796
356,314.1,399,289,24.9,402,39.7,400,5.1,11.6,110718,6391,5539,16.6,1856,13829597
,,,,,,,,,,,,,,,
